feature	Sample_1S3	Sample_1S6	Sample_1S9	Sample_1S12	Sample_1S15	Sample_1S18	Sample_1S21	Sample_1S24	Sample_4S2	Sample_4S5	Sample_4S8	Sample_4S11	Sample_4S14	Sample_4S17	Sample_4S20	Sample_4S23	Sample_N1	Sample_N7	Sample_N13	Sample_N19	Sample_N25	Sample_N31	Sample_N37	Sample_N43	Sample_2S1	Sample_2S4	Sample_2S7	Sample_2S10	Sample_2S13	Sample_2S16	Sample_2S19	Sample_2S22	Sample_4S3	Sample_4S6	Sample_4S9	Sample_4S12	Sample_4S15	Sample_4S18	Sample_4S21	Sample_4S24	Sample_N2	Sample_N8	Sample_N14	Sample_N20	Sample_N26	Sample_N32	Sample_N38	Sample_N44	Sample_2S2	Sample_2S5	Sample_2S8	Sample_2S11	Sample_2S14	Sample_2S17	Sample_2S20	Sample_2S23	Sample_N3	Sample_N9	Sample_N15	Sample_N21	Sample_N27	Sample_N33	Sample_N39	Sample_N45	Sample_PC1	Sample_PC7	Sample_PC13	Sample_PC18	Sample_PC21	Sample_PC27	Sample_PC31	Sample_PC36	Sample_2S3	Sample_2S6	Sample_2S9	Sample_2S12	Sample_2S15	Sample_2S18	Sample_2S21	Sample_2S24	Sample_N4	Sample_N10	Sample_N16	Sample_N22	Sample_N28	Sample_N34	Sample_N40	Sample_N46	Sample_Pan01	Sample_PC2	Sample_PC8	Sample_PC14	Sample_PC19	Sample_PC22	Sample_PC28	Sample_PC32	Sample_3S1	Sample_3S4	Sample_3S7	Sample_3S10	Sample_3S13	Sample_3S16	Sample_3S19	Sample_3S22	Sample_N5	Sample_N11	Sample_N17	Sample_N23	Sample_N29	Sample_N35	Sample_N41	Sample_N47	Sample_Pan02	Sample_PC3	Sample_PC9	Sample_PC15	Sample_PC20	Sample_PC23	Sample_PC29	Sample_PC33	Sample_2S25	Sample_3S2	Sample_3S5	Sample_3S8	Sample_3S11	Sample_3S14	Sample_3S17	Sample_3S20	Sample_3S23	Sample_N6	Sample_N12	Sample_N18	Sample_N24	Sample_N30	Sample_N36	Sample_N42	Sample_N48	Sample_Pan03	Sample_PC4	Sample_PC10	Sample_PC16	Sample_PC24	Sample_PC30	Sample_PC34	Sample_1S1	Sample_1S4	Sample_1S7	Sample_1S10	Sample_1S13	Sample_1S16	Sample_1S19	Sample_1S22	Sample_3S3	Sample_3S6	Sample_3S9	Sample_3S12	Sample_3S15	Sample_3S18	Sample_3S21	Sample_3S24	Sample_3S25	Sample_N50	Sample_Pan04	Sample_PC5	Sample_PC11	Sample_PC17	Sample_PC25	Sample_PC35	Sample_1S2	Sample_1S5	Sample_1S8	Sample_1S11	Sample_1S14	Sample_1S17	Sample_1S20	Sample_1S23	Sample_1S25	Sample_4S1	Sample_4S4	Sample_4S7	Sample_4S10	Sample_4S13	Sample_4S16	Sample_4S19	Sample_4S22	Sample_4S25	Sample_N49	Sample_Pan05	Sample_Pan06	Sample_PC6	Sample_PC12	Sample_PC26
hsa-miR-12125|miRNA|hsa-miR-12125|hsa-miR-12125|hsa-miR-12125|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-12126|miRNA|hsa-miR-12126|hsa-miR-12126|hsa-miR-12126|0|24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12127|miRNA|hsa-miR-12127|hsa-miR-12127|hsa-miR-12127|0|25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-12128|miRNA|hsa-miR-12128|hsa-miR-12128|hsa-miR-12128|0|26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12129|miRNA|hsa-miR-12129|hsa-miR-12129|hsa-miR-12129|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-12132|miRNA|hsa-miR-12132|hsa-miR-12132|hsa-miR-12132|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12133|miRNA|hsa-miR-12133|hsa-miR-12133|hsa-miR-12133|0|22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12135|miRNA|hsa-miR-12135|hsa-miR-12135|hsa-miR-12135|0|18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12136|miRNA|hsa-miR-12136|hsa-miR-12136|hsa-miR-12136|0|18	0	2	0	6	0	5	4	7	1	3	2	3	0	2	0	6	2	0	7	7	1	1	0	3	3	5	6	5	1	1	4	2	3	12	3	11	0	0	0	3	4	0	0	1	1	7	0	1	9	2	2	4	0	0	0	2	1	10	4	2	2	2	0	9	0	1	2	4	0	1	0	1	1	4	4	2	0	1	1	1	1	7	1	5	2	5	4	1	0	1	2	1	3	0	3	1	5	12	1	14	1	2	1	4	1	3	2	2	0	1	1	2	0	0	3	2	5	0	0	1	1	2	1	3	4	2	3	0	0	4	1	6	3	0	1	4	0	0	1	3	1	0	1	5	5	0	0	0	1	2	1	6	4	0	4	35	5	1	2	1	1	4	1	1	5	5	0	0	12	5	0	3	9	3	0	1	14	7	5	5	1	1	7	2	2	0	3	1	0	2	4	2
hsa-miR-122-3p|miRNA|hsa-miR-122-3p|hsa-miR-122-3p|hsa-miR-122-3p|0|22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	3	3	3	1	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	3	8	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	6	2	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	1	1	0	1
hsa-miR-122-5p|miRNA|hsa-miR-122-5p|hsa-miR-122-5p|hsa-miR-122-5p|0|22	2572	4085	2088	11813	1664	5606	1523	1594	1392	8211	5144	5131	799	1744	4637	4184	1933	3652	3208	2889	4790	1416	1347	1516	3035	2261	1966	30889	2811	671	1451	869	4244	3764	3507	1664	8315	3862	1133	3241	7056	2056	4830	3132	1845	2257	1434	3757	1369	3894	1411	15207	7091	578	1776	558	1110	996	2842	3871	1581	2921	4486	20389	2489	2388	2009	5123	10143	16850	2580	489	1730	11479	849	1032	3401	2673	1109	9244	2643	4878	3559	5721	2445	6187	4282	6283	1949	2079	2278	4184	51545	22518	9365	1449	2105	7202	3760	6896	1793	2878	7484	1542	11445	4920	1877	5915	1396	1081	3216	10637	5704	3724	3896	2114	2802	871	4764	10010	3744	3150	5248	2848	4731	4472	2058	32439	1874	4507	2872	7346	5738	2734	2062	3720	16337	2294	1117	8040	3446	1182	2040	6277	1657	1507	10618	2628	3481	2239	1277	3227	3453	2410	3089	855	4238	3482	4519	3058	6774	5045	3146	4921	5003	9565	4586	1995	8752	41408	2388	4355	7121	3744	7532	712	3923	13042	3670	3503	6235	4938	6972	7343	2719	1414	1518	7068	10144	11537	2987	20564
hsa-miR-1224-3p|miRNA|hsa-miR-1224-3p|hsa-miR-1224-3p|hsa-miR-1224-3p|0|21	11	12	5	3	7	3	4	9	8	15	1	9	8	14	4	6	18	9	7	10	10	7	8	8	5	4	4	8	4	5	3	8	10	10	3	6	6	6	2	6	12	18	6	1	6	4	9	9	11	11	7	16	4	17	8	7	8	15	4	2	2	7	11	10	16	0	6	4	5	2	6	9	8	12	4	9	4	11	7	10	11	9	2	8	9	5	9	8	3	9	13	9	6	10	7	4	8	15	7	13	9	7	4	6	13	17	4	11	7	5	11	9	4	11	5	14	6	0	2	4	4	13	17	2	10	9	5	8	7	22	24	10	7	8	5	11	10	4	5	10	8	4	15	3	2	4	7	10	4	9	0	16	11	1	8	8	5	2	3	10	6	5	1	9	7	13	6	2	6	10	7	9	7	10	6	5	10	6	7	11	7	3	14	3	4	6	10	3	6	16	6	2
hsa-miR-1224-5p|miRNA|hsa-miR-1224-5p|hsa-miR-1224-5p|hsa-miR-1224-5p|0|19	16400	7949	14141	29256	3953	7913	4904	7804	7577	5943	8552	14158	3759	5770	7378	4911	10687	9801	10592	9817	5107	5307	9098	6470	10087	5094	12025	16452	5929	4420	10191	7802	23670	6990	11313	17865	6725	10446	6209	7553	11084	12054	8477	8003	5722	6791	8899	12605	11253	10728	6862	18057	6102	8241	8764	14086	8615	11246	7448	7205	4477	11139	7234	9944	17732	10650	18501	15099	8173	7027	7791	9431	12252	12518	10542	18960	4697	6009	11074	8716	10609	11643	9209	10537	7572	4774	23433	7560	1692	10997	7564	15112	11068	6926	10440	7343	15774	9282	10703	15315	7996	9642	8473	7740	11983	13288	10882	11568	4414	6777	10076	8078	1719	10315	9773	22907	9611	6047	6536	5806	13541	15323	13304	12676	11475	12383	5995	6371	8246	13113	10049	14361	17153	5237	6098	13155	15605	3313	34813	8791	24758	10390	7716	6862	13604	7901	13619	8696	5648	8002	10043	8670	12158	7070	15271	20121	8742	9190	14270	13761	7060	8834	3761	25865	10886	15131	7572	5619	11470	10474	12474	10378	4718	14596	12441	12624	8923	11904	6712	13733	20171	5081	6777	12750	8231	4935	8570	2531	2438	19216	9818	9933
hsa-miR-1225-3p|miRNA|hsa-miR-1225-3p|hsa-miR-1225-3p|hsa-miR-1225-3p|0|22	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-5p|miRNA|hsa-miR-1225-5p|hsa-miR-1225-5p|hsa-miR-1225-5p|0|22	9	11	10	27	5	16	4	13	15	5	7	11	4	5	2	2	3	11	14	15	4	6	12	9	19	20	17	13	8	4	13	8	21	5	22	14	10	7	14	8	11	34	17	15	7	7	13	20	14	16	5	31	13	21	7	15	10	24	13	9	4	11	9	7	20	17	31	40	10	4	10	6	29	25	8	22	10	11	7	4	32	25	25	12	12	4	16	11	1	18	38	20	20	11	14	3	23	9	11	16	13	19	11	9	12	35	14	14	8	12	15	8	2	19	24	29	28	8	3	11	14	18	13	11	29	12	10	7	8	9	12	6	9	9	7	13	29	4	18	16	31	6	17	8	14	21	12	13	4	12	22	8	34	21	12	15	15	14	15	7	14	12	3	38	20	27	15	5	10	11	9	6	2	22	6	11	8	10	5	5	7	8	8	14	5	6	5	1	3	22	11	11
hsa-miR-1226-3p|miRNA|hsa-miR-1226-3p|hsa-miR-1226-3p|hsa-miR-1226-3p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1226-5p|miRNA|hsa-miR-1226-5p|hsa-miR-1226-5p|hsa-miR-1226-5p|0|26	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1227-3p|miRNA|hsa-miR-1227-3p|hsa-miR-1227-3p|hsa-miR-1227-3p|0|20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1227-5p|miRNA|hsa-miR-1227-5p|hsa-miR-1227-5p|hsa-miR-1227-5p|0|17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-3p|miRNA|hsa-miR-1228-3p|hsa-miR-1228-3p|hsa-miR-1228-3p|0|20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1228-5p|miRNA|hsa-miR-1228-5p|hsa-miR-1228-5p|hsa-miR-1228-5p|0|21	1	1	4	4	1	0	0	1	2	0	1	0	0	0	3	0	2	0	4	2	0	0	0	0	0	1	0	4	4	0	0	2	2	0	3	0	0	1	0	2	3	0	1	1	0	0	0	1	1	3	1	0	1	1	0	2	1	3	1	0	0	2	0	0	1	0	1	0	1	0	1	0	3	1	0	1	0	0	1	4	2	0	0	3	0	2	4	2	0	0	0	0	0	0	1	0	2	0	2	0	0	4	2	1	0	1	3	1	2	0	0	1	0	1	0	2	2	2	1	0	1	4	2	1	3	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	3	1	0	4	0	0	4	1	0	0	0	0	0	0	1	0	1	3	0	2	0	0	1	5	1	5	2	0	0	0	0	3	1	0	3	1	4	1	0	0	3	0	1	1	0	1
hsa-miR-1229-3p|miRNA|hsa-miR-1229-3p|hsa-miR-1229-3p|hsa-miR-1229-3p|0|23	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1229-5p|miRNA|hsa-miR-1229-5p|hsa-miR-1229-5p|hsa-miR-1229-5p|0|24	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	2	1	0	0	1	0	0	2	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	1	1	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	3	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	2	1	0
hsa-miR-122b-3p|miRNA|hsa-miR-122b-3p|hsa-miR-122b-3p|hsa-miR-122b-3p|0|22	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-122b-5p|miRNA|hsa-miR-122b-5p|hsa-miR-122b-5p|hsa-miR-122b-5p|0|23	5	3	2	9	11	2	4	10	6	8	7	7	6	8	3	14	3	4	6	6	6	2	7	9	10	1	3	3	7	5	2	7	3	10	12	2	7	0	5	12	0	3	10	5	5	11	5	2	8	11	15	13	5	11	5	6	4	8	6	16	15	3	10	9	5	3	11	10	7	6	5	3	8	5	12	2	8	7	3	10	5	6	10	14	12	2	4	10	1	14	7	12	9	7	6	9	6	2	5	9	4	2	12	10	13	5	12	8	12	5	5	6	0	16	7	7	5	8	6	9	3	6	9	2	6	6	9	11	12	13	6	6	3	7	6	6	9	5	4	9	5	5	11	20	2	7	5	9	8	8	8	14	5	6	6	2	0	5	7	6	13	7	3	3	14	6	10	3	8	6	5	11	2	4	6	4	6	4	4	15	3	13	19	3	6	13	6	0	0	5	5	14
hsa-miR-1231|miRNA|hsa-miR-1231|hsa-miR-1231|hsa-miR-1231|0|20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-1233-3p|miRNA|hsa-miR-1233-3p|hsa-miR-1233-3p|hsa-miR-1233-3p|0|20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
